
TimeEdit,Linköpings universitet
"Y3.a, CIV ING UTB TEKNISK FYSIK O ELEKTROTEKNIK",2018-07-30 - 2019-07-01,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Lokal,Undervisningstyp,Lärare,Studentgrupp,Fria grupper,Information till student,Studentförening,URL 
2018-09-03,08:15,2018-09-03,10:00,TDDC76,VAL,Föreläsning,Klas Arvidsson,"FyN3,MAT3,MED3,Y3,Yi3",,"Kursinfo och stoff inför lab 0 (inmatning, utmatning, typer, satser)",,
2018-09-03,15:15,2018-09-03,17:00,TAMS24,VAL,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-09-04,08:15,2018-09-04,10:00,TATA77,T1,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-04,10:15,2018-09-04,12:00,TDDC76,"SU00,SU01",Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-09-04,10:15,2018-09-04,12:00,TDDC76,"SU02,SU03",Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-09-04,15:15,2018-09-04,17:00,TAMS24,P42,Lektion,Johan Thim,"Y3.a,Y3.c",,,,
2018-09-05,08:15,2018-09-05,10:00,TAMS24,C2,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-09-05,10:15,2018-09-05,12:00,TATA77,U15,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-05,10:15,2018-09-05,12:00,TATA77,U6,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-05,13:15,2018-09-05,15:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-09-05,13:15,2018-09-05,15:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-09-06,08:15,2018-09-06,10:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-09-06,13:15,2018-09-06,15:00,TATA77,A1,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-09-06,15:15,2018-09-06,17:00,TAMS24,R35,Lektion,Denise Uwamariya,Y3.a,,,,
